380,219,319
210,419,-1
343,458,-1
279,346,120
396,177,270
401,181,253
220,192,-1
173,-1,462
272,-1,-1
-1,-1,236
500,129,284
-1,-1,201
240,-1,205
324,-1,110
287,-1,-1
495,296,-1
-1,381,491
294,163,461
308,214,362
327,372,-1
224,276,-1
427,-1,206
-1,-1,249
309,310,-1
211,-1,276
-1,363,-1
154,280,-1
-1,206,404
-1,277,209
121,226,192
416,246,-1
459,406,130
-1,-1,206
194,135,317
-1,-1,281
-1,279,187
405,436,-1
-1,215,427
481,-1,-1
124,331,368
149,343,215
247,325,131
-1,326,233
204,246,249
192,176,77
329,442,-1
148,187,268
-1,-1,229
-1,327,217
280,-1,-1
311,121,-1
249,213,437
249,257,424
340,-1,255
105,366,188
474,-1,332
477,377,214
131,439,325
358,-1,373
424,420,321
188,123,241
449,380,-1
374,-1,265
-1,-1,-1
296,-1,277
359,-1,-1
350,-1,-1
-1,445,366
213,163,-1
352,283,-1
309,475,-1
241,260,237
297,329,179
454,325,-1
436,221,-1
322,297,-1
270,109,274
383,481,246
-1,-1,463
-1,348,238
194,267,485
152,-1,272
307,206,-1
-1,492,-1
265,-1,430
138,248,-1
85,333,236
-1,316,104
412,227,316
299,-1,395
498,81,281
464,213,-1
-1,293,231
232,123,-1
252,256,332
-1,149,-1
358,485,-1
315,-1,303
-1,218,240
381,495,-1
-1,232,242
173,-1,216
-1,-1,199
238,-1,-1
-1,76,-1
227,105,-1
324,-1,299
-1,446,273
330,-1,283
207,223,372
319,382,214
330,414,200
-1,-1,121
261,173,396
283,-1,351
-1,441,358
357,261,-1
291,166,159
-1,212,285
-1,-1,-1
143,-1,423
460,494,309
263,197,183
265,255,278
467,-1,-1
-1,215,-1
261,412,411
351,298,379
-1,85,172
480,-1,-1
