366,-1,-1,438,255
171,232,-1,338,474
412,351,-1,-1,-1
285,308,160,108,-1
494,287,246,341,68
278,-1,-1,385,206
143,185,256,473,201
215,148,279,161,-1
294,-1,-1,376,-1
327,312,203,388,263
358,419,332,174,-1
163,461,392,177,164
386,260,111,475,415
466,87,149,292,409
342,272,-1,-1,168
360,-1,252,325,-1
290,-1,284,-1,-1
326,485,223,267,258
309,298,317,352,297
443,341,437,267,444
-1,189,255,-1,-1
281,277,396,-1,192
201,146,128,422,126
465,96,343,474,246
215,279,-1,492,164
194,235,474,76,270
323,260,136,268,-1
200,-1,239,404,484
426,242,227,-1,-1
345,178,349,260,81
88,417,471,-1,-1
408,261,123,-1,301
371,320,177,392,279
402,216,309,410,278
279,423,151,-1,476
385,318,-1,455,305
341,433,147,449,369
485,-1,311,401,-1
301,-1,350,332,-1
376,259,-1,386,-1
320,225,431,298,234
302,389,242,349,398
348,291,191,337,306
497,-1,-1,337,114
90,-1,491,386,-1
-1,179,384,237,-1
278,222,458,332,315
314,-1,462,491,77
365,-1,180,350,281
319,310,-1,-1,-1
299,407,339,-1,-1
334,290,412,-1,287
268,318,-1,-1,479
398,-1,206,208,301
483,346,-1,335,69
335,405,457,146,-1
-1,162,-1,455,212
258,130,283,-1,358
-1,489,-1,-1,185
215,-1,277,213,345
471,114,-1,-1,265
251,-1,-1,151,338
323,-1,300,469,278
490,351,222,162,299
-1,406,-1,160,369
443,-1,-1,-1,102
360,343,343,320,-1
330,-1,225,385,338
285,-1,70,256,-1
217,354,294,100,446
205,339,358,319,426
281,-1,272,393,267
265,441,240,-1,-1
491,-1,-1,168,-1
159,124,-1,398,336
351,311,-1,209,-1
-1,108,173,428,469
256,361,-1,-1,328
327,377,164,377,335
402,223,-1,-1,142
466,301,243,386,259
-1,363,226,-1,-1
325,-1,300,119,197
273,370,410,307,99
431,316,411,447,-1
399,269,168,-1,318
386,215,304,172,433
397,294,261,438,-1
497,298,-1,-1,461
289,183,314,248,190
451,298,328,343,414
401,431,-1,136,158
121,257,223,85,435
384,178,247,251,124
323,143,288,245,220
83,336,316,-1,-1
323,220,438,343,428
104,118,252,161,408
437,384,183,341,-1
315,375,209,407,122
-1,187,330,381,253
-1,486,335,202,488
-1,187,-1,184,-1
306,245,412,196,-1
283,85,276,105,118
323,-1,381,-1,374
436,-1,451,281,254
329,215,403,-1,-1
348,277,329,333,451
323,-1,391,385,141
149,193,-1,-1,334
303,446,333,210,-1
390,353,-1,-1,-1
471,-1,417,180,259
257,341,359,314,447
450,-1,414,-1,-1
-1,449,207,-1,385
