436,164,188
-1,383,374
308,405,254
-1,432,407
-1,129,282
169,119,181
-1,404,-1
422,-1,261
-1,483,104
214,198,456
431,191,156
336,-1,196
182,319,158
296,354,84
197,265,293
-1,324,170
397,329,-1
67,155,99
158,462,-1
336,225,-1
-1,304,235
152,462,83
-1,-1,122
-1,269,81
496,230,234
363,345,229
477,-1,273
-1,241,173
276,294,282
391,458,-1
-1,-1,155
277,-1,375
-1,497,159
307,-1,201
269,291,382
399,102,163
-1,195,182
86,371,259
103,306,373
318,337,233
374,-1,231
245,390,-1
-1,309,123
214,-1,128
250,483,-1
155,147,378
-1,336,-1
482,372,475
-1,-1,228
413,-1,209
268,65,240
283,-1,367
-1,-1,287
314,-1,164
123,277,254
233,83,316
238,164,336
448,194,172
235,471,-1
241,115,322
362,445,210
331,211,169
-1,445,138
380,333,219
-1,405,239
175,344,-1
-1,91,166
419,373,143
93,-1,252
327,-1,344
365,295,246
439,311,286
287,86,-1
-1,199,191
-1,247,379
-1,258,213
204,91,-1
-1,498,-1
309,-1,191
117,317,136
171,399,94
158,426,439
156,262,214
305,417,183
246,325,-1
296,302,307
431,288,-1
320,83,-1
214,460,228
90,-1,269
288,258,-1
407,412,489
-1,-1,382
271,373,162
-1,-1,282
256,303,416
352,-1,311
388,355,87
277,-1,455
78,-1,104
153,363,175
-1,198,198
400,287,202
-1,291,293
-1,-1,227
312,-1,-1
330,-1,388
133,355,165
367,-1,156
-1,-1,245
326,343,253
286,-1,252
-1,368,449
-1,206,331
-1,468,173
243,241,412
336,355,-1
98,-1,-1
333,439,-1
399,237,462
344,171,129
479,368,-1
404,331,385
406,197,149
247,419,168
471,269,263
146,491,-1
377,321,385
209,456,267
-1,249,494
-1,-1,-1
470,282,331
273,265,348
255,200,107
-1,103,278
-1,-1,181
342,282,240
331,162,78
-1,-1,69
170,240,-1
243,-1,302
-1,155,203
110,-1,150
348,165,82
121,500,185
-1,315,-1
344,-1,163
273,139,347
434,478,125
240,246,-1
323,344,206
253,-1,-1
-1,277,342
-1,-1,-1
341,456,-1
-1,-1,-1
35,479,351
