-1,-1,159,470,378,-1,-1,429,-1,-1
272,161,-1,-1,176,-1,250,370,418,432
412,407,465,391,487,-1,444,177,305,210
205,-1,328,-1,487,426,300,-1,270,-1
-1,406,454,-1,-1,-1,-1,318,222,155
-1,429,499,-1,469,-1,412,215,259,242
467,199,165,484,-1,-1,-1,-1,-1,-1
442,357,342,412,348,-1,446,-1,479,339
-1,275,417,285,-1,196,-1,377,-1,476
-1,-1,397,434,275,-1,410,-1,379,266
335,435,-1,-1,201,414,336,429,444,435
-1,-1,323,434,-1,216,210,160,305,-1
383,-1,382,-1,-1,-1,-1,270,215,284
467,380,-1,428,379,-1,-1,166,143,126
313,-1,402,257,-1,-1,330,-1,-1,72
-1,-1,294,229,133,176,-1,280,276,413
-1,463,457,343,398,-1,279,-1,130,404
388,-1,-1,474,-1,165,-1,285,324,264
-1,183,-1,284,-1,204,-1,-1,200,-1
385,-1,267,-1,-1,427,-1,-1,239,-1
261,-1,322,396,-1,124,-1,389,282,332
313,249,-1,-1,493,-1,-1,367,240,260
-1,-1,357,-1,-1,500,261,130,436,329
363,-1,-1,338,428,186,-1,-1,373,295
418,288,357,398,-1,-1,355,-1,435,280
309,-1,273,394,313,437,-1,333,250,-1
382,-1,-1,253,161,218,-1,410,273,424
-1,195,277,219,-1,419,-1,365,-1,406
181,-1,-1,393,-1,196,-1,379,345,-1
-1,401,-1,436,-1,-1,250,341,387,71
390,349,436,-1,236,-1,-1,391,197,-1
183,-1,-1,392,144,-1,426,-1,-1,176
-1,-1,-1,352,439,-1,-1,-1,449,-1
-1,445,400,296,303,-1,207,-1,-1,26
443,-1,442,376,148,-1,-1,-1,-1,282
432,313,285,319,322,-1,-1,-1,-1,228
460,-1,296,180,-1,380,448,-1,440,-1
-1,339,-1,476,260,365,-1,-1,426,170
460,-1,302,-1,317,153,-1,249,-1,213
-1,113,486,-1,-1,237,305,251,422,413
-1,356,-1,384,353,356,480,330,131,-1
368,399,273,-1,103,145,-1,168,344,483
-1,-1,-1,-1,-1,-1,79,-1,-1,-1
315,-1,301,427,-1,-1,-1,108,375,142
